Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 3320, 600, 9, -680, STRAIGHT, 2, NORMAL
2222, 20, 400, 10, -3980, FULL_HOUSE, 6, NORMAL
3333, 1240, 600, 7, -2760, TWO_PAIR, 3, NORMAL
4444, 0, 568, 12, -4000, STRAIGHT, 5, NORMAL
5555, 0, 579, 12, -4000, FULL_HOUSE, 4, NORMAL
6666, 0, 171, 5, -4000, TWO_PAIR, 7, NORMAL
7777, 0, 126, 4, -4000, TWO_PAIR, 8, NORMAL
8888, 5760, 600, 26, 1760, FLUSH, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 20, 531, 0, -3980, NULL, 3, NORMAL
2222, 20, 529, 0, -3980, NULL, 7, NORMAL
3333, 20, 530, 0, -3980, NULL, 5, NORMAL
4444, 0, 529, 0, -4000, NULL, 8, NORMAL
5555, 0, 531, 0, -4000, NULL, 4, NORMAL
6666, 20, 533, 0, -3980, NULL, 2, NORMAL
7777, 0, 530, 0, -4000, NULL, 6, NORMAL
8888, 9920, 533, 0, 5920, NULL, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
2222, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
3333, 0, 4, 4, -4000, FLUSH, 3, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 4, NORMAL
5555, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
6666, 32000, 68, 8, 28000, THREE_OF_A_KIND, 1, NORMAL
7777, 0, 2, 2, -4000, ONE_PAIR, 4, NORMAL
8888, 0, 68, 4, -4000, TWO_PAIR, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 1309, 600, 600, -2691, FULL_HOUSE, 7, NORMAL
2222, 3496, 600, 600, -504, FULL_HOUSE, 6, NORMAL
3333, 5013, 600, 600, 1013, FOUR_OF_A_KIND, 3, NORMAL
4444, 4743, 600, 600, 743, FULL_HOUSE, 4, NORMAL
5555, 7167, 600, 600, 3167, STRAIGHT_FLUSH, 1, NORMAL
6666, 4572, 600, 600, 572, FULL_HOUSE, 5, NORMAL
7777, 5700, 600, 600, 1700, FOUR_OF_A_KIND, 2, NORMAL
8888, 0, 472, 57, -4000, FULL_HOUSE, 8, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 10, 8, -4000, FULL_HOUSE, 4, NORMAL
2222, 14000, 600, 22, 10000, FULL_HOUSE, 1, NORMAL
3333, 0, 2, 2, -4000, THREE_OF_A_KIND, 6, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
5555, 0, 2, 2, -4000, TWO_PAIR, 6, NORMAL
6666, 0, 10, 2, -4000, ONE_PAIR, 4, NORMAL
7777, 0, 170, 27, -4000, FOUR_OF_A_KIND, 3, NORMAL
8888, 11300, 600, 19, 7300, FULL_HOUSE, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 350, 6, -4000, TWO_PAIR, 6, NORMAL
2222, 0, 64, 5, -4000, THREE_OF_A_KIND, 8, NORMAL
3333, 0, 470, 5, -4000, TWO_PAIR, 4, NORMAL
4444, 6300, 600, 9, 2300, FULL_HOUSE, 1, NORMAL
5555, 0, 201, 5, -4000, ONE_PAIR, 7, NORMAL
6666, 0, 442, 5, -4000, TWO_PAIR, 5, NORMAL
7777, 220, 600, 17, -3780, STRAIGHT, 3, NORMAL
8888, 4800, 600, 24, 800, FULL_HOUSE, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 20, 531, 0, -3980, NULL, 4, NORMAL
2222, 20, 530, 0, -3980, NULL, 6, NORMAL
3333, 0, 530, 0, -4000, NULL, 7, NORMAL
4444, 20, 529, 0, -3980, NULL, 8, NORMAL
5555, 0, 531, 0, -4000, NULL, 5, NORMAL
6666, 20, 533, 0, -3980, NULL, 2, NORMAL
7777, 0, 532, 0, -4000, NULL, 3, NORMAL
8888, 9040, 533, 0, 5040, NULL, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, ONE_PAIR, 4, NORMAL
2222, 0, 2, 2, -4000, FULL_HOUSE, 4, NORMAL
3333, 0, 4, 4, -4000, STRAIGHT, 3, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 4, NORMAL
5555, 0, 2, 2, -4000, ONE_PAIR, 4, NORMAL
6666, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
7777, 32000, 63, 8, 28000, FULL_HOUSE, 1, NORMAL
8888, 0, 63, 4, -4000, THREE_OF_A_KIND, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 3561, 600, 600, -439, FULL_HOUSE, 6, NORMAL
2222, 4200, 600, 600, 200, FULL_HOUSE, 4, NORMAL
3333, 3819, 600, 600, -181, FULL_HOUSE, 5, NORMAL
4444, 6939, 600, 600, 2939, FULL_HOUSE, 1, NORMAL
5555, 2433, 600, 600, -1567, FOUR_OF_A_KIND, 7, NORMAL
6666, 4670, 600, 600, 670, STRAIGHT_FLUSH, 3, NORMAL
7777, 5010, 600, 600, 1010, FULL_HOUSE, 2, NORMAL
8888, 1368, 600, 81, -2632, FOUR_OF_A_KIND, 8, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 4, 4, -4000, ONE_PAIR, 5, NORMAL
2222, 0, 192, 15, -4000, FOUR_OF_A_KIND, 3, NORMAL
3333, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
5555, 31980, 378, 51, 27980, FULL_HOUSE, 1, NORMAL
6666, 0, 7, 2, -4000, ONE_PAIR, 4, NORMAL
7777, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
8888, 20, 378, 31, -3980, STRAIGHT, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 182, 4, -4000, THREE_OF_A_KIND, 6, NORMAL
2222, 0, 199, 6, -4000, STRAIGHT, 5, NORMAL
3333, 0, 178, 5, -4000, TWO_PAIR, 7, NORMAL
4444, 10430, 600, 16, 6430, FULL_HOUSE, 1, NORMAL
5555, 0, 120, 3, -4000, THREE_OF_A_KIND, 8, NORMAL
6666, 30, 304, 2, -3970, ONE_PAIR, 4, NORMAL
7777, 20, 579, 10, -3980, THREE_OF_A_KIND, 3, NORMAL
8888, 2100, 600, 14, -1900, STRAIGHT, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 530, 0, -4000, NULL, 7, NORMAL
2222, 20, 533, 0, -3980, NULL, 2, NORMAL
3333, 0, 531, 0, -4000, NULL, 5, NORMAL
4444, 0, 529, 0, -4000, NULL, 8, NORMAL
5555, 20, 530, 0, -3980, NULL, 6, NORMAL
6666, 20, 531, 0, -3980, NULL, 4, NORMAL
7777, 0, 532, 0, -4000, NULL, 3, NORMAL
8888, 10460, 533, 0, 6460, NULL, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, FLUSH, 4, NORMAL
2222, 0, 2, 2, -4000, FLUSH, 4, NORMAL
3333, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
4444, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
5555, 0, 4, 4, -4000, FOUR_OF_A_KIND, 3, NORMAL
6666, 0, 304, 14, -4000, FULL_HOUSE, 2, NORMAL
7777, 0, 2, 2, -4000, THREE_OF_A_KIND, 4, NORMAL
8888, 32000, 304, 10, 28000, FULL_HOUSE, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 6396, 600, 600, 2396, FOUR_OF_A_KIND, 3, NORMAL
2222, 7035, 600, 600, 3035, FULL_HOUSE, 2, NORMAL
3333, 1070, 600, 600, -2930, FOUR_OF_A_KIND, 7, NORMAL
4444, 2291, 600, 600, -1709, FULL_HOUSE, 6, NORMAL
5555, 3464, 600, 600, -536, FULL_HOUSE, 5, NORMAL
6666, 7304, 600, 600, 3304, FULL_HOUSE, 1, NORMAL
7777, 4420, 600, 600, 420, FULL_HOUSE, 4, NORMAL
8888, 20, 456, 52, -3980, FULL_HOUSE, 8, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
2222, 0, 219, 18, -4000, FULL_HOUSE, 2, NORMAL
3333, 31980, 219, 37, 27980, FLUSH, 1, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
5555, 0, 2, 2, -4000, TWO_PAIR, 6, NORMAL
6666, 0, 7, 2, -4000, HIGH_CARD, 4, NORMAL
7777, 0, 5, 2, -4000, ONE_PAIR, 5, NORMAL
8888, 20, 136, 14, -3980, STRAIGHT, 3, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 476, 7, -4000, TWO_PAIR, 4, NORMAL
2222, 0, 483, 2, -4000, TWO_PAIR, 3, NORMAL
3333, 20, 399, 12, -3980, FULL_HOUSE, 5, NORMAL
4444, 20, 347, 4, -3980, STRAIGHT, 6, NORMAL
5555, 0, 51, 3, -4000, TWO_PAIR, 8, NORMAL
6666, 6040, 600, 8, 2040, TWO_PAIR, 1, NORMAL
7777, 1300, 600, 6, -2700, THREE_OF_A_KIND, 2, NORMAL
8888, 0, 134, 10, -4000, THREE_OF_A_KIND, 7, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 531, 0, -4000, NULL, 4, NORMAL
2222, 0, 529, 0, -4000, NULL, 8, NORMAL
3333, 20, 531, 0, -3980, NULL, 3, NORMAL
4444, 20, 533, 0, -3980, NULL, 2, NORMAL
5555, 20, 530, 0, -3980, NULL, 5, NORMAL
6666, 20, 529, 0, -3980, NULL, 7, NORMAL
7777, 0, 530, 0, -4000, NULL, 6, NORMAL
8888, 11240, 533, 0, 7240, NULL, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, TWO_PAIR, 3, NORMAL
2222, 0, 2, 2, -4000, TWO_PAIR, 3, NORMAL
3333, 0, 2, 2, -4000, THREE_OF_A_KIND, 3, NORMAL
4444, 0, 35, 4, -4000, FLUSH, 2, NORMAL
5555, 0, 2, 2, -4000, THREE_OF_A_KIND, 3, NORMAL
6666, 0, 2, 2, -4000, TWO_PAIR, 3, NORMAL
7777, 0, 2, 2, -4000, ONE_PAIR, 3, NORMAL
8888, 32000, 35, 3, 28000, FULL_HOUSE, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 6433, 600, 600, 2433, STRAIGHT_FLUSH, 2, NORMAL
2222, 7897, 600, 600, 3897, FOUR_OF_A_KIND, 1, NORMAL
3333, 3442, 600, 600, -558, FOUR_OF_A_KIND, 6, NORMAL
4444, 271, 600, 600, -3729, FOUR_OF_A_KIND, 8, NORMAL
5555, 4543, 600, 600, 543, FOUR_OF_A_KIND, 4, NORMAL
6666, 3866, 600, 600, -134, FOUR_OF_A_KIND, 5, NORMAL
7777, 4702, 600, 600, 702, FOUR_OF_A_KIND, 3, NORMAL
8888, 846, 600, 72, -3154, FOUR_OF_A_KIND, 7, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
2222, 20, 155, 15, -3980, FLUSH, 3, NORMAL
3333, 0, 475, 51, -4000, FLUSH, 2, NORMAL
4444, 0, 4, 4, -4000, FULL_HOUSE, 5, NORMAL
5555, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
6666, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
7777, 0, 5, 4, -4000, TWO_PAIR, 4, NORMAL
8888, 31980, 475, 32, 27980, FULL_HOUSE, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 20, 387, 3, -3980, THREE_OF_A_KIND, 5, NORMAL
2222, 20, 191, 11, -3980, STRAIGHT, 6, NORMAL
3333, 0, 47, 2, -4000, TWO_PAIR, 8, NORMAL
4444, 20, 87, 4, -3980, ONE_PAIR, 7, NORMAL
5555, 8580, 600, 15, 4580, FULL_HOUSE, 1, NORMAL
6666, 20, 547, 7, -3980, THREE_OF_A_KIND, 3, NORMAL
7777, 0, 469, 7, -4000, TWO_PAIR, 4, NORMAL
8888, 4320, 600, 26, 320, TWO_PAIR, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 20, 529, 0, -3980, NULL, 8, NORMAL
2222, 20, 531, 0, -3980, NULL, 4, NORMAL
3333, 20, 530, 0, -3980, NULL, 6, NORMAL
4444, 0, 532, 0, -4000, NULL, 3, NORMAL
5555, 0, 531, 0, -4000, NULL, 5, NORMAL
6666, 20, 533, 0, -3980, NULL, 2, NORMAL
7777, 0, 530, 0, -4000, NULL, 7, NORMAL
8888, 9580, 533, 0, 5580, NULL, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, TWO_PAIR, 5, NORMAL
2222, 0, 3, 3, -4000, STRAIGHT, 4, NORMAL
3333, 0, 2, 2, -4000, ONE_PAIR, 5, NORMAL
4444, 0, 5, 5, -4000, FLUSH, 3, NORMAL
5555, 32000, 97, 8, 28000, STRAIGHT, 1, NORMAL
6666, 0, 2, 2, -4000, THREE_OF_A_KIND, 5, NORMAL
7777, 0, 2, 2, -4000, ONE_PAIR, 5, NORMAL
8888, 0, 97, 3, -4000, TWO_PAIR, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 549, 549, -4000, FULL_HOUSE, 7, NORMAL
2222, 6496, 600, 600, 2496, FOUR_OF_A_KIND, 3, NORMAL
3333, 2143, 600, 600, -1857, STRAIGHT_FLUSH, 5, NORMAL
4444, 6173, 600, 600, 2173, FOUR_OF_A_KIND, 4, NORMAL
5555, 7434, 600, 600, 3434, FULL_HOUSE, 2, NORMAL
6666, 9753, 600, 600, 5753, FOUR_OF_A_KIND, 1, NORMAL
7777, 0, 507, 507, -4000, FOUR_OF_A_KIND, 8, NORMAL
8888, 0, 562, 60, -4000, FULL_HOUSE, 6, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, FLUSH, 5, NORMAL
2222, 0, 150, 18, -4000, FULL_HOUSE, 2, NORMAL
3333, 31980, 150, 32, 27980, FLUSH, 1, NORMAL
